"Index","Country","Prediction","Company","Date","City","Advice","Info","Travellers","Severity","DIstance"
"1","Afghanistan","Terrorism Risk","controlrisks","2021-05-06 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","FIVE","Not Recieved"
"2","Afghanistan","Terrorism Risk","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","FOUR","Not Recieved"
"3","Afghanistan","Kidanp","controlrisks","2021-05-08 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"4","Afghanistan","Terrorism Risk","controlrisks","2021-05-09 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"5","Algeria","Crime Risk","controlrisks","2021-05-06 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"6","Algeria","Kidanp","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"7","Algeria","Crime Risk","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"8","Argentina","Terrorism Risk","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"9","Argentina","Crime Risk","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"10","Argentina","Crime Risk","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"11","Armenia","Terrorism Risk","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"12","Armenia","Kidanp","controlrisks","2021-05-12 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"13","Australia","Terrorism Risk","controlrisks","2021-05-08 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"14","Chile","Crime Risk","controlrisks","2021-05-16 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"15","Chile","Terrorism Risk","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"16","Chile","Terrorism Risk","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"17","Chile","Terrorism Risk","controlrisks","2021-05-18 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"18","China","Crime Risk","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"19","China","Kidanp","controlrisks","2021-05-17 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"20","Colombia","Crime Risk","controlrisks","2021-05-04 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"21","Colombia","Terrorism Risk","controlrisks","2021-05-05 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"22","Colombia","Terrorism Risk","controlrisks","2021-05-05 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"23","Colombia","Terrorism Risk","controlrisks","2021-05-05 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"24","Colombia","Kidanp","controlrisks","2021-05-06 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"25","Colombia","Terrorism Risk","controlrisks","2021-05-06 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"26","Colombia","Terrorism Risk","controlrisks","2021-05-06 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"27","Colombia","Kidanp","controlrisks","2021-05-06 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"28","Colombia","Crime Risk","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"29","Colombia","Kidanp","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"30","Colombia","Terrorism Risk","controlrisks","2021-05-07 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"31","Albania","Kidanp","controlrisks","2021-05-08 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"32","Colombia","Terrorism Risk","controlrisks","2021-05-09 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"33","Colombia","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"34","Colombia","Terrorism Risk","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"35","Colombia","Kidanp","controlrisks","2021-05-10 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","TWO","Not Recieved"
"36","Colombia","Crime Risk","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"37","Colombia","Crime Risk","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
"38","Colombia","Kidanp","controlrisks","2021-05-11 00:00:00",,"Not Recieved","Not Recieved","Not Recieved","ONE","Not Recieved"
